EXT1	Я душа компании.
EXT2	Я немного разговариваю.
EXT3	Мне комфортно среди людей.
EXT4	Я держусь в тени.
EXT5	Я завожу разговоры.
EXT6	Мне нечего сказать.
EXT7	Я общаюсь со многими людьми на вечеринках.
EXT8	Я не люблю привлекать к себе внимание.
EXT9	Меня не смущает быть в центре внимания.
EXT10	Я молчалив(а) с незнакомыми людьми.
EST1	Я легко испытываю стресс.
EST2	Я расслаблен(а) большую часть времени.
EST3	Я часто волнуюсь.
EST4	Я редко впадаю в уныние.
EST5	Я легко расстраиваюсь.
EST6	Я быстро выхожу из себя.
EST7	У меня часто меняется настроение.
EST8	У меня частые перепады настроения.
EST9	Я легко раздражаюсь.
EST10	Я часто чувствую себя подавленным(ой).
AGR1	Меня мало волнуют чужие проблемы.
AGR2	Мне интересны другие люди.
AGR3	Я оскорбляю людей.
AGR4	Я сочувствую чувствам других.
AGR5	Мне неинтересны проблемы других людей.
AGR6	У меня доброе сердце.
AGR7	Меня не особенно интересуют другие.
AGR8	Я уделяю время другим.
AGR9	Я чувствую эмоции других людей.
AGR10	Со мной люди чувствуют себя спокойно.
CSN1	Я всегда хорошо подготовлен(а).
CSN2	Я разбрасываю свои вещи.
CSN3	Я обращаю внимание на детали.
CSN4	Я всё путаю.
CSN5	Я сразу выполняю поручения.
CSN6	Я часто забываю класть вещи на место.
CSN7	Мне нравится порядок.
CSN8	Я избегаю выполнения обязанностей.
CSN9	Я придерживаюсь расписания.
CSN10	Я требователен(льна) к себе в работе.
OPN1	У меня богатый словарный запас.
OPN2	Мне трудно понимать абстрактные идеи.
OPN3	У меня яркое воображение.
OPN4	Меня не интересуют абстрактные идеи.
OPN5	У меня отличные идеи.
OPN6	У меня плохое воображение.
OPN7	Я быстро понимаю новое.
OPN8	Я использую сложные слова.
OPN9	Я часто размышляю.
OPN10	Я полон(на) идей.
